fecha,flota,id_puerto,categoria,id_especie,captura
2019-01,Rada o ría,Bahía Blanca,Crustáceos,Camarón,221363
2019-01,Congeladores poteros nacionales,Caleta Olivia / Paula,Moluscos,Calamar Illex,101156
2019-01,Costeros,Caleta Olivia / Paula,Peces,Merluza hubbsi,4236
2019-01,Costeros,Caleta Olivia / Paula,Peces,Rayas nep,33214
2019-01,Fresqueros,Caleta Olivia / Paula,Peces,Merluza hubbsi,2123
2019-01,Rada o ría,Caleta Olivia / Paula,Peces,Merluza hubbsi,118321
2019-01,Rada o ría,Caleta Olivia / Paula,Peces,Pez gallo,323
2019-01,Rada o ría,Caleta Olivia / Paula,Peces,Rayas nep,7548
2019-01,Congeladores poteros nacionales,Comodoro Rivadavia,Moluscos,Calamar Illex,726
2019-01,Costeros,Comodoro Rivadavia,Peces,Merluza hubbsi,9121
2019-01,Fresqueros,Comodoro Rivadavia,Crustáceos,Centolla,4048644
2019-01,Fresqueros,Comodoro Rivadavia,Moluscos,Calamar Illex,35571
2019-01,Fresqueros,Comodoro Rivadavia,Peces,Abadejo,371047
2019-01,Fresqueros,Comodoro Rivadavia,Peces,Merluza hubbsi,75
2019-01,Fresqueros,Comodoro Rivadavia,Peces,Notothenia,181566
2019-01,Fresqueros,Comodoro Rivadavia,Peces,Rayas nep,1241777
2019-01,Congeladores arrastreros,Mar del Plata,Moluscos,Vieira (callos),1333213
2019-01,Congeladores poteros nacionales,Mar del Plata,Moluscos,Calamar Illex,9175735
2019-01,Costeros,Mar del Plata,Crustáceos,Cangrejo,68579
2019-01,Costeros,Mar del Plata,Moluscos,Calamar Illex,18622724
2019-01,Costeros,Mar del Plata,Moluscos,Calamar Loligo,7624857
2019-01,Costeros,Mar del Plata,Moluscos,Caracol,104775
2019-01,Costeros,Mar del Plata,Peces,Abadejo,91000
2019-01,Costeros,Mar del Plata,Peces,Anchoa de banco,965
2019-01,Costeros,Mar del Plata,Peces,Bacalao austral,313980
2019-01,Costeros,Mar del Plata,Peces,Bagre,9767
2019-01,Costeros,Mar del Plata,Peces,Besugo,9417
2019-01,Costeros,Mar del Plata,Peces,Besugo,1081
2019-01,Costeros,Mar del Plata,Peces,Brótola,171
2019-01,Costeros,Mar del Plata,Peces,Brótola,13131
2019-01,Costeros,Mar del Plata,Peces,Caballa,4658
2019-01,Costeros,Mar del Plata,Peces,Castañeta,297
2019-01,Costeros,Mar del Plata,Peces,Corvina blanca,1046
2019-01,Costeros,Mar del Plata,Peces,Corvina blanca,9339
2019-01,Costeros,Mar del Plata,Peces,Corvina negra,337743
2019-01,Costeros,Mar del Plata,Peces,Gatuzo,276
2019-01,Costeros,Mar del Plata,Peces,Gatuzo,1381
2019-01,Costeros,Mar del Plata,Peces,Lenguados nep,316
2019-01,Costeros,Mar del Plata,Peces,Lenguados nep,576
2019-01,Costeros,Mar del Plata,Peces,Merluza hubbsi,955
2019-01,Costeros,Mar del Plata,Peces,Merluza hubbsi,386001
2019-01,Costeros,Mar del Plata,Peces,Mero,8140
2019-01,Costeros,Mar del Plata,Peces,Mero,3620
2019-01,Costeros,Mar del Plata,Peces,Palometa,120745
2019-01,Costeros,Mar del Plata,Peces,Pargo,18238
2019-01,Costeros,Mar del Plata,Peces,Pargo,581218
2019-01,Costeros,Mar del Plata,Peces,Pescadilla,130306
2019-01,Costeros,Mar del Plata,Peces,Pescadilla,270049
2019-01,Costeros,Mar del Plata,Peces,Pescadilla real,3125
2019-01,Costeros,Mar del Plata,Peces,Pez gallo,32509
2019-01,Costeros,Mar del Plata,Peces,Pez gallo,11499
2019-01,Costeros,Mar del Plata,Peces,Pez palo,1210
2019-01,Costeros,Mar del Plata,Peces,Pez palo,56669
2019-01,Costeros,Mar del Plata,Peces,Pez sable,4260
2019-01,Costeros,Mar del Plata,Peces,Pez ángel,88251
2019-01,Costeros,Mar del Plata,Peces,Pez ángel,13128
2019-01,Costeros,Mar del Plata,Peces,Rayas nep,1735
2019-01,Costeros,Mar del Plata,Peces,Rayas nep,1744
